"Geslacht";"Uitstromers ho met en zonder diploma";"Bedrijfstakken (SBI 2008)";"Studierichting";"Peilmoment";"Perioden";"Uurloon werknemers na verlaten ho (euro)"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Totaal";"Direct na verlaten onderwijs";"2015/'16";"   14.79"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Totaal";"1 jaar na verlaten onderwijs";"2015/'16";"   16.30"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Totaal";"2 jaar na verlaten onderwijs";"2015/'16";"   18.14"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Totaal";"3 jaar na verlaten onderwijs";"2015/'16";"   19.61"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Totaal";"4 jaar na verlaten onderwijs";"2015/'16";"   21.40"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Totaal";"5 jaar na verlaten onderwijs";"2015/'16";"   22.84"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Totaal";"Direct na verlaten onderwijs";"2015/'16";"   17.29"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Totaal";"1 jaar na verlaten onderwijs";"2015/'16";"   17.84"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Totaal";"2 jaar na verlaten onderwijs";"2015/'16";"   19.85"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Totaal";"3 jaar na verlaten onderwijs";"2015/'16";"   21.01"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Totaal";"4 jaar na verlaten onderwijs";"2015/'16";"   22.68"
"Totaal";"Hbo-master";"A-U Alle economische activiteiten";"Totaal";"5 jaar na verlaten onderwijs";"2015/'16";"   23.87"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Totaal";"Direct na verlaten onderwijs";"2015/'16";"   12.84"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Totaal";"1 jaar na verlaten onderwijs";"2015/'16";"   15.87"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Totaal";"2 jaar na verlaten onderwijs";"2015/'16";"   18.17"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Totaal";"3 jaar na verlaten onderwijs";"2015/'16";"   20.19"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Totaal";"4 jaar na verlaten onderwijs";"2015/'16";"   22.21"
"Totaal";"Wo-bachelor";"A-U Alle economische activiteiten";"Totaal";"5 jaar na verlaten onderwijs";"2015/'16";"   24.32"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Totaal";"Direct na verlaten onderwijs";"2015/'16";"   16.29"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Totaal";"1 jaar na verlaten onderwijs";"2015/'16";"   18.12"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Totaal";"2 jaar na verlaten onderwijs";"2015/'16";"   20.28"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Totaal";"3 jaar na verlaten onderwijs";"2015/'16";"   22.60"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Totaal";"4 jaar na verlaten onderwijs";"2015/'16";"   25.10"
"Totaal";"Wo-master";"A-U Alle economische activiteiten";"Totaal";"5 jaar na verlaten onderwijs";"2015/'16";"   27.48"
