measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Comoros,Both,All ages,Eating disorders,Number,2019,0.00018891010424338642,0.000354526496658364,6.174739517551555e-05
Deaths,Comoros,Both,All ages,Eating disorders,Percent,2019,3.834003861907983e-08,6.793873044720486e-08,1.3094339452536064e-08
Deaths,Comoros,Both,All ages,Eating disorders,Rate,2019,2.5986109957280682e-05,4.8767981796591904e-05,8.49385270858419e-06
Deaths,Comoros,Both,All ages,Self-harm and interpersonal violence,Number,2019,225.05528156619778,259.6236817827014,193.66831749183342
Deaths,Comoros,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.045751784130975234,0.052352811177080405,0.04089401353225652
Deaths,Comoros,Both,All ages,Self-harm and interpersonal violence,Rate,2019,30.95817090710605,35.71333343624218,26.640640603852287
Deaths,El Salvador,Both,All ages,Self-harm and interpersonal violence,Number,2019,4096.524946313144,4325.923084382589,3767.5432284987396
Deaths,El Salvador,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.10059621046897592,0.10581750005713222,0.09303971761109064
Deaths,El Salvador,Both,All ages,Self-harm and interpersonal violence,Rate,2019,64.02006264051742,67.60507270668123,58.878770824140574
Deaths,Kiribati,Both,All ages,Eating disorders,Number,2021,8.593767014283573e-05,0.00015041436582540263,1.8819925254436508e-05
Deaths,Kiribati,Both,All ages,Eating disorders,Percent,2021,8.741952323343266e-08,1.3097333695915027e-07,2.119324690778963e-08
Deaths,Kiribati,Both,All ages,Eating disorders,Rate,2021,7.092850788092052e-05,0.00012414423749350552,1.55329928599294e-05
Deaths,Denmark,Both,All ages,Self-harm and interpersonal violence,Number,2019,732.0520212689576,770.923430972361,689.8348659350293
Deaths,Denmark,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.013589399058383739,0.014278463453274916,0.012825324942992551
Deaths,Denmark,Both,All ages,Self-harm and interpersonal violence,Rate,2019,12.620891671914084,13.291051492183195,11.89304975810818
Deaths,Jordan,Both,All ages,Eating disorders,Number,2019,0.0026577626868676423,0.007302914769938274,0.00034276652261100703
Deaths,Jordan,Both,All ages,Eating disorders,Percent,2019,9.888598232124752e-08,2.599211448517323e-07,1.3029369203419765e-08
Deaths,Jordan,Both,All ages,Eating disorders,Rate,2019,2.3083219941915926e-05,6.342732881475911e-05,2.9769983111173106e-06
Deaths,Russian Federation,Both,All ages,Self-harm and interpersonal violence,Number,2019,54600.81236583754,55417.20672723872,53778.72585226515
Deaths,Russian Federation,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0308989476648502,0.03134976814483231,0.030421580574272366
Deaths,Russian Federation,Both,All ages,Self-harm and interpersonal violence,Rate,2019,37.4134124736725,37.97281988284491,36.85010470427066
Deaths,Fiji,Both,All ages,Self-harm and interpersonal violence,Number,2021,114.35364772875793,146.50349335357316,86.69522059728129
Deaths,Fiji,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.012179081442095617,0.014387584183886927,0.009146364804814185
Deaths,Fiji,Both,All ages,Self-harm and interpersonal violence,Rate,2021,12.369590666664552,15.847227263957015,9.377789102873264
Deaths,San Marino,Both,All ages,Eating disorders,Number,2019,5.61291367500781e-06,4.289376762935624e-06,6.727730874705943e-07
Deaths,San Marino,Both,All ages,Eating disorders,Percent,2019,1.733901443509285e-08,1.3100610962885524e-08,2.159714443822595e-09
Deaths,San Marino,Both,All ages,Eating disorders,Rate,2019,1.7209395141418017e-05,1.315138338087357e-05,2.062746475924937e-06
Deaths,United Kingdom,Both,All ages,Self-harm and interpersonal violence,Number,2019,6496.214617242576,6586.176576604748,6366.2818245317585
Deaths,United Kingdom,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0107909306437965,0.010924117249644073,0.01060030619864444
Deaths,United Kingdom,Both,All ages,Self-harm and interpersonal violence,Rate,2019,9.659782606498231,9.793554814083029,9.466574314439912
Deaths,Trinidad and Tobago,Both,All ages,Self-harm and interpersonal violence,Number,2021,602.0186414979596,746.5887920585902,479.6806370863592
Deaths,Trinidad and Tobago,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.03632584260256391,0.0416033226039494,0.027840892583229426
Deaths,Trinidad and Tobago,Both,All ages,Self-harm and interpersonal violence,Rate,2021,43.213213881492216,53.59053512442129,34.43172775123036
Deaths,Burundi,Both,All ages,Eating disorders,Number,2019,0.0012972018278451672,0.0023848082747415238,0.00027928085251697
Deaths,Burundi,Both,All ages,Eating disorders,Percent,2019,1.570773442499626e-08,2.8305621756209307e-08,3.4600394817762704e-09
Deaths,Burundi,Both,All ages,Eating disorders,Rate,2019,1.0514453599618329e-05,1.933003439442309e-05,2.2637075449773615e-06
Deaths,Burundi,Both,All ages,Self-harm and interpersonal violence,Number,2019,1270.436990311931,1779.2176743245006,1035.978621004353
Deaths,Burundi,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.015352584084522275,0.020694282306930815,0.013128569451582209
Deaths,Burundi,Both,All ages,Self-harm and interpersonal violence,Rate,2019,10.297511535319817,14.42142716633506,8.397112081503323
Deaths,Dominican Republic,Both,All ages,Self-harm and interpersonal violence,Number,2019,3010.8370795077226,3544.0845028114586,2517.8449017742937
Deaths,Dominican Republic,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.047460371355022325,0.051774538657120894,0.04248668907411662
Deaths,Dominican Republic,Both,All ages,Self-harm and interpersonal violence,Rate,2019,27.929955349277066,32.87661182044868,23.35672566330253
Deaths,Afghanistan,Both,All ages,Self-harm and interpersonal violence,Number,2019,35417.288375739176,38570.25404852825,32676.804519616813
Deaths,Afghanistan,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.16303103688731185,0.18487262044153369,0.14326174093367394
Deaths,Afghanistan,Both,All ages,Self-harm and interpersonal violence,Rate,2019,120.98017536598597,131.75023590733034,111.6190911975989
Deaths,Finland,Both,All ages,Eating disorders,Number,2019,1.4686321913722242,1.8870185074882169,1.1638606986737443
Deaths,Finland,Both,All ages,Eating disorders,Percent,2019,2.71184034444276e-05,3.482184937868995e-05,2.1519242054767033e-05
Deaths,Finland,Both,All ages,Eating disorders,Rate,2019,0.02655420655837565,0.034119011908966074,0.021043660611089695
Deaths,Maldives,Both,All ages,Eating disorders,Number,2019,0.001174932799263022,0.0031748812637965623,7.812237317759058e-05
Deaths,Maldives,Both,All ages,Eating disorders,Percent,2019,9.123647085574365e-07,2.412496271680871e-06,6.1796897401397e-08
Deaths,Maldives,Both,All ages,Eating disorders,Rate,2019,0.0002408929624595966,0.0006509364225538247,1.6017196831110905e-05
Deaths,Botswana,Both,All ages,Self-harm and interpersonal violence,Number,2019,451.838937184997,567.9718841437334,339.3371231859541
Deaths,Botswana,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.025006318032638225,0.029861559569197,0.019917906638416166
Deaths,Botswana,Both,All ages,Self-harm and interpersonal violence,Rate,2019,19.411481573709985,24.40067655994722,14.578283923554299
Deaths,Finland,Both,All ages,Self-harm and interpersonal violence,Number,2019,995.0195695950747,1049.6965191361421,938.6028120026409
Deaths,Finland,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.01837280507770931,0.019324709959254074,0.017405185524647072
Deaths,Finland,Both,All ages,Self-harm and interpersonal violence,Rate,2019,17.990859342369532,18.97946834918889,16.97079302265779
Deaths,Slovenia,Both,All ages,Self-harm and interpersonal violence,Number,2021,366.85646169872444,412.7156636645128,320.0211131541745
Deaths,Slovenia,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.015928617998399744,0.01752495356867774,0.01426057598017433
Deaths,Slovenia,Both,All ages,Self-harm and interpersonal violence,Rate,2021,17.725518816682982,19.94131227333523,15.462560579370773
Deaths,Central African Republic,Both,All ages,Self-harm and interpersonal violence,Number,2021,2345.7868558757805,2735.0666912585993,2032.1237730056578
Deaths,Central African Republic,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.031952804214094244,0.03632693780382509,0.027900992907318407
Deaths,Central African Republic,Both,All ages,Self-harm and interpersonal violence,Rate,2021,42.774054268747335,49.872344875451724,37.054591012662094
Deaths,Tonga,Both,All ages,Eating disorders,Number,2019,4.308717871307466e-05,7.022809558396855e-05,7.839188795251404e-06
Deaths,Tonga,Both,All ages,Eating disorders,Percent,2019,6.500245690411467e-08,9.852903704391629e-08,1.2754348138544489e-08
Deaths,Tonga,Both,All ages,Eating disorders,Rate,2019,4.0691812948988496e-05,6.632387208028942e-05,7.403381090518695e-06
Deaths,Mongolia,Both,All ages,Eating disorders,Number,2021,0.032635702431567375,0.09613268064934719,0.008446267688799117
Deaths,Mongolia,Both,All ages,Eating disorders,Percent,2021,1.5166755360044859e-06,4.564832890102863e-06,3.9630312445664343e-07
Deaths,Mongolia,Both,All ages,Eating disorders,Rate,2021,0.0009782025534600313,0.0028814220830494564,0.00025316325388475614
Deaths,Tunisia,Both,All ages,Eating disorders,Number,2021,0.0033258545867880344,0.007184864047722123,0.0007892104163075445
Deaths,Tunisia,Both,All ages,Eating disorders,Percent,2021,3.204506526158373e-08,6.449362836176005e-08,8.07972622853715e-09
Deaths,Tunisia,Both,All ages,Eating disorders,Rate,2021,2.808387336581237e-05,6.066976375586993e-05,6.664177525562318e-06
Deaths,Australia,Both,All ages,Self-harm and interpersonal violence,Number,2021,3580.1497680090865,3740.609633872477,3395.0068353336746
Deaths,Australia,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.02043397055805907,0.021376012498157695,0.019379583157600775
Deaths,Australia,Both,All ages,Self-harm and interpersonal violence,Rate,2021,13.880882468794635,14.503014134601147,13.163050127991616
Deaths,Djibouti,Both,All ages,Self-harm and interpersonal violence,Number,2019,208.84430893300282,308.7683701829372,132.96731553851475
Deaths,Djibouti,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.02811347360374207,0.03607401358827786,0.021634047963857612
Deaths,Djibouti,Both,All ages,Self-harm and interpersonal violence,Rate,2019,17.4729282832262,25.833060119755725,11.12469082967877
Deaths,Saudi Arabia,Both,All ages,Self-harm and interpersonal violence,Number,2021,6676.402600741606,8845.999602140319,4951.978101293817
Deaths,Saudi Arabia,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.04268155038312582,0.049684514255058,0.03607777470071292
Deaths,Saudi Arabia,Both,All ages,Self-harm and interpersonal violence,Rate,2021,17.70732366552086,23.46158365026825,13.133761438299297
Deaths,Cabo Verde,Both,All ages,Eating disorders,Number,2021,0.0001149715694600475,0.00025725529476022764,1.829436793551581e-05
Deaths,Cabo Verde,Both,All ages,Eating disorders,Percent,2021,3.147344626579596e-08,6.937283260081968e-08,5.190419597873837e-09
Deaths,Cabo Verde,Both,All ages,Eating disorders,Rate,2021,2.0557728768847688e-05,4.599906393265771e-05,3.271162216729842e-06
Deaths,Cabo Verde,Both,All ages,Self-harm and interpersonal violence,Number,2021,161.76802272443535,203.13357368809068,127.21154850799462
Deaths,Cabo Verde,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.04418700142195707,0.04948904658086216,0.039093133560220886
Deaths,Cabo Verde,Both,All ages,Self-harm and interpersonal violence,Rate,2021,28.925265178687212,36.32171789372368,22.746323484791912
Deaths,Vanuatu,Both,All ages,Eating disorders,Number,2019,5.237844449662011e-05,8.702517107802211e-05,7.4385327963934205e-06
Deaths,Vanuatu,Both,All ages,Eating disorders,Percent,2019,2.747999199996113e-08,4.3864951045452956e-08,3.8337324268542206e-09
Deaths,Vanuatu,Both,All ages,Eating disorders,Rate,2019,1.745367020446319e-05,2.8998735072798866e-05,2.478685640267759e-06
Deaths,Djibouti,Both,All ages,Eating disorders,Number,2019,0.00022931312751128363,0.0004172684529102778,4.398774990853743e-05
Deaths,Djibouti,Both,All ages,Eating disorders,Percent,2019,3.0773355086785465e-08,5.217851737573442e-08,6.065508014818551e-09
Deaths,Djibouti,Both,All ages,Eating disorders,Rate,2019,1.918544896855356e-05,3.491070352744422e-05,3.680228603877969e-06
Deaths,Czechia,Both,All ages,Eating disorders,Number,2019,2.052624185103999,3.1333760225018956,1.2853805269761975
Deaths,Czechia,Both,All ages,Eating disorders,Percent,2019,1.816141727346711e-05,2.773388714117589e-05,1.1464896006042396e-05
Deaths,Czechia,Both,All ages,Eating disorders,Rate,2019,0.019280267062842908,0.02943175227134144,0.012073559308774877
Deaths,Czechia,Both,All ages,Self-harm and interpersonal violence,Number,2019,1517.6765249255811,1583.734079104821,1442.6866286435718
Deaths,Czechia,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.01342900964374286,0.014041027934967684,0.012784898504645863
Deaths,Czechia,Both,All ages,Self-harm and interpersonal violence,Rate,2019,14.255512006495245,14.87598958604272,13.551133076428805
Deaths,Grenada,Both,All ages,Eating disorders,Number,2019,3.561613027913922e-05,9.310177144875941e-05,1.1197974152316632e-05
Deaths,Grenada,Both,All ages,Eating disorders,Percent,2019,4.3687066467974276e-08,1.0982228767657556e-07,1.3667195970401938e-08
Deaths,Grenada,Both,All ages,Eating disorders,Rate,2019,3.440189108915398e-05,8.992770906005714e-05,1.0816208391757602e-05
Deaths,Jordan,Both,All ages,Self-harm and interpersonal violence,Number,2019,462.9335226841534,549.2196919799254,394.8806978521412
Deaths,Jordan,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.017178745025795604,0.018957026488589216,0.01551310005227681
Deaths,Jordan,Both,All ages,Self-harm and interpersonal violence,Rate,2019,4.020673619734812,4.770086888888323,3.429620727379926
Deaths,Marshall Islands,Both,All ages,Self-harm and interpersonal violence,Number,2021,14.853315045001647,19.324258349225698,10.136235903013677
Deaths,Marshall Islands,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.033543470239025784,0.03944787675621331,0.0240778552267905
Deaths,Marshall Islands,Both,All ages,Self-harm and interpersonal violence,Rate,2021,26.395053444528543,34.34013419619304,18.012577500430012
Deaths,France,Both,All ages,Eating disorders,Number,2019,14.36001414217608,18.458982301528,11.10749746353008
Deaths,France,Both,All ages,Eating disorders,Percent,2019,2.4193969514660506e-05,3.109269794826513e-05,1.875694949167826e-05
Deaths,France,Both,All ages,Eating disorders,Rate,2019,0.02171053074205317,0.027907653763884783,0.016793135630763675
Deaths,Bolivia (Plurinational State of),Both,All ages,Eating disorders,Number,2021,0.032238908971748845,0.06889036724382516,0.01072130866727808
Deaths,Bolivia (Plurinational State of),Both,All ages,Eating disorders,Percent,2021,2.649913611218283e-07,5.27442574972909e-07,9.317129560789444e-08
Deaths,Bolivia (Plurinational State of),Both,All ages,Eating disorders,Rate,2021,0.0002732776019907619,0.0005839587926859747,9.088066613432891e-05
Deaths,Malta,Both,All ages,Self-harm and interpersonal violence,Number,2021,25.572932018397612,28.000256337184787,23.065314834420747
Deaths,Malta,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.006335840581113218,0.00674860414955111,0.005871011052461952
Deaths,Malta,Both,All ages,Self-harm and interpersonal violence,Rate,2021,5.7828645280230955,6.331760825523273,5.215811424661753
Deaths,Malta,Both,All ages,Eating disorders,Number,2021,0.019033013107750234,0.024266312244058792,0.008505126938853023
Deaths,Malta,Both,All ages,Eating disorders,Percent,2021,4.715085783542968e-06,6.090504207407694e-06,2.141699854072839e-06
Deaths,Malta,Both,All ages,Eating disorders,Rate,2021,0.004303977982775874,0.005487395665117521,0.0019232834485166965
Deaths,New Zealand,Both,All ages,Eating disorders,Number,2021,0.002664201695918317,0.0033721953316691727,0.0018173536219704349
Deaths,New Zealand,Both,All ages,Eating disorders,Percent,2021,7.723578699088177e-08,9.80546623313981e-08,5.265952804342318e-08
Deaths,New Zealand,Both,All ages,Eating disorders,Rate,2021,5.153679698381307e-05,6.523235326524048e-05,3.51552154653982e-05
Deaths,Bangladesh,Both,All ages,Eating disorders,Number,2019,0.23424027541941575,1.2078317091974238,0.026702987737550563
Deaths,Bangladesh,Both,All ages,Eating disorders,Percent,2019,2.5835584604462864e-07,1.2779862201577881e-06,3.1438955507738683e-08
Deaths,Bangladesh,Both,All ages,Eating disorders,Rate,2019,0.0001444627999889905,0.0007449049925924264,1.6468510249704395e-05
Deaths,Democratic People's Republic of Korea,Both,All ages,Eating disorders,Number,2021,0.2102141933156579,0.4667698272830773,0.04108032233123239
Deaths,Democratic People's Republic of Korea,Both,All ages,Eating disorders,Percent,2021,8.623493408176332e-07,1.8540038851089153e-06,1.7059544306782753e-07
Deaths,Democratic People's Republic of Korea,Both,All ages,Eating disorders,Rate,2021,0.0007964992648887531,0.0017685857383804393,0.00015565288918948755
Deaths,Tonga,Both,All ages,Self-harm and interpersonal violence,Number,2019,6.41731666895818,8.303441212678655,4.911759439169455
Deaths,Tonga,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.009648821470193516,0.010907681800924158,0.008450743313565332
Deaths,Tonga,Both,All ages,Self-harm and interpersonal violence,Rate,2019,6.0605557691906204,7.841824105246251,4.638697689632267
Deaths,Vanuatu,Both,All ages,Self-harm and interpersonal violence,Number,2019,51.563781758315585,64.04076227830548,38.17730962784337
Deaths,Vanuatu,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.026874206019636835,0.03120479266380836,0.020401310812219128
Deaths,Vanuatu,Both,All ages,Self-harm and interpersonal violence,Rate,2019,17.182206343730364,21.339815551798157,12.721534171963677
Deaths,Tajikistan,Both,All ages,Eating disorders,Number,2021,0.11395057177340205,0.5366802380594717,0.022758694613738976
Deaths,Tajikistan,Both,All ages,Eating disorders,Percent,2021,1.9291994529445783e-06,8.934909832948015e-06,3.8215794531040527e-07
Deaths,Tajikistan,Both,All ages,Eating disorders,Rate,2021,0.001121567131966566,0.005282315885000189,0.00022400417521373258
Deaths,Tajikistan,Both,All ages,Self-harm and interpersonal violence,Number,2021,523.8258140747869,688.0175307560148,413.9742064343391
Deaths,Tajikistan,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.008877892229093689,0.01155541020866252,0.007331093241260996
Deaths,Tajikistan,Both,All ages,Self-harm and interpersonal violence,Rate,2021,5.155795243486824,6.771864648886826,4.074572476406584
Deaths,Kiribati,Both,All ages,Self-harm and interpersonal violence,Number,2021,23.851377847627823,30.559573836248504,17.538837767212474
Deaths,Kiribati,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.02429540587247345,0.02768477898246993,0.02026244620742057
Deaths,Kiribati,Both,All ages,Self-harm and interpersonal violence,Rate,2021,19.68569358262171,25.222291575734847,14.47564951116637
Deaths,Slovenia,Both,All ages,Eating disorders,Number,2021,5.638814473487543e-05,6.509460837103937e-05,2.776283226059987e-05
Deaths,Slovenia,Both,All ages,Eating disorders,Percent,2021,2.4391684986152863e-09,2.8014773522885967e-09,1.2089928056681479e-09
Deaths,Slovenia,Both,All ages,Eating disorders,Rate,2021,2.7245236894769674e-06,3.1451966259573106e-06,1.3414254811294937e-06
Deaths,Indonesia,Both,All ages,Eating disorders,Number,2020,1.5034953544650214,2.5155696341688185,0.5811644349113195
Deaths,Indonesia,Both,All ages,Eating disorders,Percent,2020,7.749368889866188e-07,1.3030324141916987e-06,3.060484332973332e-07
Deaths,Indonesia,Both,All ages,Eating disorders,Rate,2020,0.0005449322882200298,0.0009117521466584144,0.00021063933746640233
Deaths,Kuwait,Both,All ages,Self-harm and interpersonal violence,Number,2019,133.39918873623625,140.93453770446226,125.78894118955952
Deaths,Kuwait,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.014854098339430556,0.015593185333494197,0.014051447372357433
Deaths,Kuwait,Both,All ages,Self-harm and interpersonal violence,Rate,2019,3.0418340629444787,3.2136588047953802,2.868301446785227
Deaths,Congo,Both,All ages,Self-harm and interpersonal violence,Number,2021,808.3910226821464,1086.930755649962,608.8939228606575
Deaths,Congo,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.01741130885735214,0.020945628231586178,0.014357391923727914
Deaths,Congo,Both,All ages,Self-harm and interpersonal violence,Rate,2021,14.993519909456664,20.159696814750916,11.293375234262204
Deaths,San Marino,Both,All ages,Self-harm and interpersonal violence,Number,2019,3.953194652883253,4.894661409517663,3.272126511964918
Deaths,San Marino,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.012192160233559594,0.013663788284892397,0.010881543071430709
Deaths,San Marino,Both,All ages,Self-harm and interpersonal violence,Rate,2019,12.120636943933425,15.00720787046887,10.032457535886799
Deaths,Dominica,Both,All ages,Eating disorders,Number,2020,2.500479801546154e-05,5.120463003392667e-05,6.3066012462763805e-06
Deaths,Dominica,Both,All ages,Eating disorders,Percent,2020,4.085599871304924e-08,8.108779048937764e-08,1.088311866962563e-08
Deaths,Dominica,Both,All ages,Eating disorders,Rate,2020,3.713931316744164e-05,7.605359536506099e-05,9.367115805646838e-06
Deaths,Rwanda,Both,All ages,Self-harm and interpersonal violence,Number,2021,1430.1519750670625,1938.2838054082115,1077.166547310215
Deaths,Rwanda,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.015475500053225857,0.0195352536465064,0.012905628793381491
Deaths,Rwanda,Both,All ages,Self-harm and interpersonal violence,Rate,2021,10.777305657177298,14.606473567441316,8.117286362873527
Deaths,Syrian Arab Republic,Both,All ages,Eating disorders,Number,2021,0.0026198054739104922,0.009158693186066644,0.00017307710944623042
Deaths,Syrian Arab Republic,Both,All ages,Eating disorders,Percent,2021,2.4933164353164675e-08,8.541870736655515e-08,1.6782679195011829e-09
Deaths,Syrian Arab Republic,Both,All ages,Eating disorders,Rate,2021,1.8672302305412694e-05,6.527732291416786e-05,1.2335832342937647e-06
Deaths,France,Both,All ages,Self-harm and interpersonal violence,Number,2019,10129.710317959607,10980.452632173665,9451.6119933125
Deaths,France,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.017066836646148213,0.018427673505305067,0.01591475389372011
Deaths,France,Both,All ages,Self-harm and interpersonal violence,Rate,2019,15.314844754939,16.60105986471819,14.289645588863882
Deaths,Bolivia (Plurinational State of),Both,All ages,Self-harm and interpersonal violence,Number,2021,1220.6749992258947,1629.8873983155797,903.2075376167394
Deaths,Bolivia (Plurinational State of),Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.010054084558151214,0.011990898871796603,0.0079457949862691
Deaths,Bolivia (Plurinational State of),Both,All ages,Self-harm and interpersonal violence,Rate,2021,10.347221641118457,13.815967535283557,7.6561644873335855
Deaths,Mali,Both,All ages,Eating disorders,Number,2019,0.001780538485941098,0.0033503819501443186,0.0002788304633319027
Deaths,Mali,Both,All ages,Eating disorders,Percent,2019,8.96388500136018e-09,1.6064895014349484e-08,1.4100573278577886e-09
Deaths,Mali,Both,All ages,Eating disorders,Rate,2019,7.94585188111093e-06,1.4951453692911071e-05,1.2443120882084217e-06
Deaths,Colombia,Both,All ages,Self-harm and interpersonal violence,Number,2020,17852.876181430503,18682.331361835393,16935.1507223971
Deaths,Colombia,Both,All ages,Self-harm and interpersonal violence,Percent,2020,0.059101449766832126,0.0614385081007704,0.0564176224903254
Deaths,Colombia,Both,All ages,Self-harm and interpersonal violence,Rate,2020,36.59669066893016,38.29699455008247,34.71544114913668
Deaths,Turkmenistan,Both,All ages,Eating disorders,Number,2021,0.1133979425934171,0.342904032920186,0.026684119106227967
Deaths,Turkmenistan,Both,All ages,Eating disorders,Percent,2021,2.6077323794323907e-06,8.254446234600384e-06,6.406647767528619e-07
Deaths,Turkmenistan,Both,All ages,Eating disorders,Rate,2021,0.002198327752596428,0.006647523180808079,0.0005172972123059916
Deaths,Turkmenistan,Both,All ages,Self-harm and interpersonal violence,Number,2021,704.4993333911027,888.6247440356553,559.1357101082975
Deaths,Turkmenistan,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.016130481678153744,0.01805231198661544,0.014337744820650259
Deaths,Turkmenistan,Both,All ages,Self-harm and interpersonal violence,Rate,2021,13.657394489353383,17.22684196715647,10.839381393416357
Deaths,Eritrea,Both,All ages,Eating disorders,Number,2019,0.0009076745488563932,0.0016675117946737639,0.00026341144018365815
Deaths,Eritrea,Both,All ages,Eating disorders,Percent,2019,2.0667717532557562e-08,3.483421450224859e-08,6.442292240601092e-09
Deaths,Eritrea,Both,All ages,Eating disorders,Rate,2019,1.4372521702730294e-05,2.6404121927516118e-05,4.170973666229839e-06
Deaths,Türkiye,Both,All ages,Eating disorders,Number,2021,1.9629460988739045,3.6984305430646147,0.8406388158068973
Deaths,Türkiye,Both,All ages,Eating disorders,Percent,2021,2.9946613927684067e-06,5.675763706387687e-06,1.343534860467457e-06
Deaths,Türkiye,Both,All ages,Eating disorders,Rate,2021,0.0023476834036539065,0.004423322683440247,0.0010054039677754281
Deaths,Türkiye,Both,All ages,Self-harm and interpersonal violence,Number,2021,4941.25039716805,5861.51375596882,4073.0202939072333
Deaths,Türkiye,Both,All ages,Self-harm and interpersonal violence,Percent,2021,0.00754629949726873,0.008338812114547041,0.006532674004259382
Deaths,Türkiye,Both,All ages,Self-harm and interpersonal violence,Rate,2021,5.909735146260315,7.01037006215881,4.871332000525706
