"ID";"Geslacht";"Persoonskenmerken";"UitstromersHoMetEnZonderDiploma";"Arbeidsmarktpositie";"Studierichting";"Peilmoment";"Perioden";"UitstromersHo_1"
"2143689";"3000   ";"A051735";"A043049";"A028813";"T001332";"A029077";"2015SJ00";"16470"
"2143704";"3000   ";"A051735";"A043049";"A028813";"T001332";"A029078";"2015SJ00";"16760"
"2143719";"3000   ";"A051735";"A043049";"A028813";"T001332";"A029079";"2015SJ00";"16760"
"2143734";"3000   ";"A051735";"A043049";"A028813";"T001332";"A029080";"2015SJ00";"16680"
"2143749";"3000   ";"A051735";"A043049";"A028813";"T001332";"A029081";"2015SJ00";"15610"
"2143764";"3000   ";"A051735";"A043049";"A028813";"T001332";"A029082";"2015SJ00";"16200"
"2143794";"3000   ";"A051735";"A043049";"A028813";"A042609";"A029077";"2015SJ00";"1210"
"2143809";"3000   ";"A051735";"A043049";"A028813";"A042609";"A029078";"2015SJ00";"1120"
"2143824";"3000   ";"A051735";"A043049";"A028813";"A042609";"A029079";"2015SJ00";"1080"
"2143839";"3000   ";"A051735";"A043049";"A028813";"A042609";"A029080";"2015SJ00";"1060"
"2143854";"3000   ";"A051735";"A043049";"A028813";"A042609";"A029081";"2015SJ00";"1000"
"2143869";"3000   ";"A051735";"A043049";"A028813";"A042609";"A029082";"2015SJ00";"1000"
"2143899";"3000   ";"A051735";"A043049";"A028813";"A042610";"A029077";"2015SJ00";"510"
"2143914";"3000   ";"A051735";"A043049";"A028813";"A042610";"A029078";"2015SJ00";"550"
"2143929";"3000   ";"A051735";"A043049";"A028813";"A042610";"A029079";"2015SJ00";"550"
"2143944";"3000   ";"A051735";"A043049";"A028813";"A042610";"A029080";"2015SJ00";"550"
"2143959";"3000   ";"A051735";"A043049";"A028813";"A042610";"A029081";"2015SJ00";"530"
"2143974";"3000   ";"A051735";"A043049";"A028813";"A042610";"A029082";"2015SJ00";"540"
"2144004";"3000   ";"A051735";"A043049";"A028813";"A042611";"A029077";"2015SJ00";"0"
"2144019";"3000   ";"A051735";"A043049";"A028813";"A042611";"A029078";"2015SJ00";"0"
"2144034";"3000   ";"A051735";"A043049";"A028813";"A042611";"A029079";"2015SJ00";"0"
"2144049";"3000   ";"A051735";"A043049";"A028813";"A042611";"A029080";"2015SJ00";"0"
"2144064";"3000   ";"A051735";"A043049";"A028813";"A042611";"A029081";"2015SJ00";"0"
"2144079";"3000   ";"A051735";"A043049";"A028813";"A042611";"A029082";"2015SJ00";"0"
"2144109";"3000   ";"A051735";"A043049";"A028813";"A042612";"A029077";"2015SJ00";"5580"
"2144124";"3000   ";"A051735";"A043049";"A028813";"A042612";"A029078";"2015SJ00";"5810"
"2144139";"3000   ";"A051735";"A043049";"A028813";"A042612";"A029079";"2015SJ00";"5830"
