"Geslacht";"Persoonskenmerken";"Uitstromers ho met en zonder diploma";"Arbeidsmarktpositie";"Studierichting";"Peilmoment";"Perioden";"Uitstromers ho (aantal)"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Onderwijs";"Direct na verlaten onderwijs";"2015/'16";"    1240"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Onderwijs";"1 jaar na verlaten onderwijs";"2015/'16";"    1150"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Onderwijs";"2 jaar na verlaten onderwijs";"2015/'16";"    1110"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Onderwijs";"3 jaar na verlaten onderwijs";"2015/'16";"    1090"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Onderwijs";"4 jaar na verlaten onderwijs";"2015/'16";"    1030"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Onderwijs";"5 jaar na verlaten onderwijs";"2015/'16";"    1030"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Landbouw en natuurlijke omgeving";"Direct na verlaten onderwijs";"2015/'16";"     510"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Landbouw en natuurlijke omgeving";"1 jaar na verlaten onderwijs";"2015/'16";"     550"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Landbouw en natuurlijke omgeving";"2 jaar na verlaten onderwijs";"2015/'16";"     550"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Landbouw en natuurlijke omgeving";"3 jaar na verlaten onderwijs";"2015/'16";"     550"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Landbouw en natuurlijke omgeving";"4 jaar na verlaten onderwijs";"2015/'16";"     540"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Landbouw en natuurlijke omgeving";"5 jaar na verlaten onderwijs";"2015/'16";"     540"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Natuur";"Direct na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Natuur";"1 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Natuur";"2 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Natuur";"3 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Natuur";"4 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"       0"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"    5840"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"    6070"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"    6080"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"    6060"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"    5850"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"    5980"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"     920"
"Mannen";"Geen internationale student";"Hbo-bachelor";"Met werk, zonder uitkering";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"     910"
