Uitstromers ho met en zonder diploma,Arbeidsmarktpositie,Studierichting,Peilmoment,Perioden,Uitstromers ho (aantal)
Hbo-bachelor,"Met werk, zonder uitkering",Onderwijs,Direct na verlaten onderwijs,2015/'16,4680
Hbo-bachelor,"Met werk, zonder uitkering",Onderwijs,1 jaar na verlaten onderwijs,2015/'16,4390
Hbo-bachelor,"Met werk, zonder uitkering",Onderwijs,2 jaar na verlaten onderwijs,2015/'16,4300
Hbo-bachelor,"Met werk, zonder uitkering",Onderwijs,3 jaar na verlaten onderwijs,2015/'16,4200
Hbo-bachelor,"Met werk, zonder uitkering",Onderwijs,4 jaar na verlaten onderwijs,2015/'16,3970
Hbo-bachelor,"Met werk, zonder uitkering",Onderwijs,5 jaar na verlaten onderwijs,2015/'16,3990
Hbo-bachelor,"Met werk, zonder uitkering",Onderwijs,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,Direct na verlaten onderwijs,2015/'16,920
Hbo-bachelor,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,1 jaar na verlaten onderwijs,2015/'16,970
Hbo-bachelor,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,2 jaar na verlaten onderwijs,2015/'16,960
Hbo-bachelor,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,3 jaar na verlaten onderwijs,2015/'16,960
Hbo-bachelor,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,4 jaar na verlaten onderwijs,2015/'16,930
Hbo-bachelor,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,5 jaar na verlaten onderwijs,2015/'16,930
Hbo-bachelor,"Met werk, zonder uitkering",Landbouw en natuurlijke omgeving,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, zonder uitkering",Natuur,Direct na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Natuur,1 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Natuur,2 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Natuur,3 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Natuur,4 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Natuur,5 jaar na verlaten onderwijs,2015/'16,0
Hbo-bachelor,"Met werk, zonder uitkering",Natuur,10 jaar na verlaten onderwijs,2015/'16,
Hbo-bachelor,"Met werk, zonder uitkering",Techniek,Direct na verlaten onderwijs,2015/'16,7360
Hbo-bachelor,"Met werk, zonder uitkering",Techniek,1 jaar na verlaten onderwijs,2015/'16,7660
