measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Comoros,Both,All ages,Eating disorders,Number,2019,0.0001889101042433,0.0003545264966583,6.174739517551555e-05
Deaths,Comoros,Both,All ages,Eating disorders,Percent,2019,3.8340038619079834e-08,6.793873044720487e-08,1.3094339452536064e-08
Deaths,Comoros,Both,All ages,Eating disorders,Rate,2019,2.598610995728068e-05,4.8767981796591904e-05,8.49385270858419e-06
Deaths,Comoros,Both,All ages,Self-harm and interpersonal violence,Number,2019,225.05528156619775,259.6236817827014,193.66831749183345
Deaths,Comoros,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0457517841309752,0.0523528111770804,0.0408940135322565
Deaths,Comoros,Both,All ages,Self-harm and interpersonal violence,Rate,2019,30.95817090710605,35.71333343624218,26.640640603852287
Deaths,El Salvador,Both,All ages,Self-harm and interpersonal violence,Number,2019,4096.524946313144,4325.923084382589,3767.54322849874
Deaths,El Salvador,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.1005962104689759,0.1058175000571322,0.0930397176110906
Deaths,El Salvador,Both,All ages,Self-harm and interpersonal violence,Rate,2019,64.02006264051742,67.60507270668123,58.878770824140574
Deaths,Kiribati,Both,All ages,Eating disorders,Number,2021,8.593767014283573e-05,0.0001504143658254,1.8819925254436508e-05
Deaths,Kiribati,Both,All ages,Eating disorders,Percent,2021,8.741952323343267e-08,1.309733369591503e-07,2.119324690778963e-08
Deaths,Kiribati,Both,All ages,Eating disorders,Rate,2021,7.092850788092052e-05,0.0001241442374935,1.55329928599294e-05
Deaths,Denmark,Both,All ages,Self-harm and interpersonal violence,Number,2019,732.0520212689576,770.923430972361,689.8348659350293
Deaths,Denmark,Both,All ages,Self-harm and interpersonal violence,Percent,2019,0.0135893990583837,0.0142784634532749,0.0128253249429925
Deaths,Denmark,Both,All ages,Self-harm and interpersonal violence,Rate,2019,12.620891671914084,13.291051492183197,11.89304975810818
