"Geslacht";"Uitstromers ho met en zonder diploma";"Bedrijfstakken (SBI 2008)";"Studierichting";"Peilmoment";"Perioden";"Uurloon werknemers na verlaten ho (euro)"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"Direct na verlaten onderwijs";"2015/'16";"   17.83"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"1 jaar na verlaten onderwijs";"2015/'16";"   18.35"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"2 jaar na verlaten onderwijs";"2015/'16";"   19.86"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"3 jaar na verlaten onderwijs";"2015/'16";"   20.54"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"4 jaar na verlaten onderwijs";"2015/'16";"   22.27"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Onderwijs";"5 jaar na verlaten onderwijs";"2015/'16";"   23.76"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"Direct na verlaten onderwijs";"2015/'16";"   14.16"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"1 jaar na verlaten onderwijs";"2015/'16";"   15.83"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"2 jaar na verlaten onderwijs";"2015/'16";"   17.36"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"3 jaar na verlaten onderwijs";"2015/'16";"   18.66"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"4 jaar na verlaten onderwijs";"2015/'16";"   20.33"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Landbouw en natuurlijke omgeving";"5 jaar na verlaten onderwijs";"2015/'16";"   21.66"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Natuur";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Natuur";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Natuur";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Natuur";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Natuur";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Natuur";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Techniek";"Direct na verlaten onderwijs";"2015/'16";"   15.10"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Techniek";"1 jaar na verlaten onderwijs";"2015/'16";"   16.34"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Techniek";"2 jaar na verlaten onderwijs";"2015/'16";"   18.13"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Techniek";"3 jaar na verlaten onderwijs";"2015/'16";"   19.89"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Techniek";"4 jaar na verlaten onderwijs";"2015/'16";"   21.75"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Techniek";"5 jaar na verlaten onderwijs";"2015/'16";"   23.39"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"Direct na verlaten onderwijs";"2015/'16";"   17.09"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"1 jaar na verlaten onderwijs";"2015/'16";"   18.93"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"2 jaar na verlaten onderwijs";"2015/'16";"   20.59"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"3 jaar na verlaten onderwijs";"2015/'16";"   21.69"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"4 jaar na verlaten onderwijs";"2015/'16";"   23.70"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gezondheidszorg";"5 jaar na verlaten onderwijs";"2015/'16";"   25.06"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Economie";"Direct na verlaten onderwijs";"2015/'16";"   13.57"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Economie";"1 jaar na verlaten onderwijs";"2015/'16";"   14.92"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Economie";"2 jaar na verlaten onderwijs";"2015/'16";"   16.66"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Economie";"3 jaar na verlaten onderwijs";"2015/'16";"   18.33"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Economie";"4 jaar na verlaten onderwijs";"2015/'16";"   20.11"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Economie";"5 jaar na verlaten onderwijs";"2015/'16";"   21.75"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Recht";"Direct na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Recht";"1 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Recht";"2 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Recht";"3 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Recht";"4 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Recht";"5 jaar na verlaten onderwijs";"2015/'16";"       ."
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"Direct na verlaten onderwijs";"2015/'16";"   14.47"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"1 jaar na verlaten onderwijs";"2015/'16";"   16.27"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"2 jaar na verlaten onderwijs";"2015/'16";"   18.22"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"3 jaar na verlaten onderwijs";"2015/'16";"   19.56"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"4 jaar na verlaten onderwijs";"2015/'16";"   21.12"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Gedrag en Maatschappij";"5 jaar na verlaten onderwijs";"2015/'16";"   22.35"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"Direct na verlaten onderwijs";"2015/'16";"   11.98"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"1 jaar na verlaten onderwijs";"2015/'16";"   12.71"
"Totaal";"Hbo-bachelor";"A-U Alle economische activiteiten";"Taal en cultuur";"2 jaar na verlaten onderwijs";"2015/'16";"   14.18"
